datetimestamp,underlyingSymbol,underlyingPrice,underlyingVol,putCall,strikePrice,expirationType,inTheMoney,lastTradingDay,expirationDate,daysToExpiration,openInterest,theoreticalVolatility,volatility,theoreticalOptionValue,closePrice,last,mark,bid,ask
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,330.0,S,True,2020-07-03 00:00:00,2020-07-02 20:00:00,5,655,29.0,45.997,24.825,25.58,25.17,24.83,24.25,25.4
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,332.5,S,True,2020-07-03 00:00:00,2020-07-02 20:00:00,5,230,29.0,36.345,21.825,23.25,23.0,21.83,20.45,23.2
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,335.0,S,True,2020-07-03 00:00:00,2020-07-02 20:00:00,5,641,29.0,42.517,20.225,20.93,21.04,20.23,19.6,20.85
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,337.5,S,True,2020-07-03 00:00:00,2020-07-02 20:00:00,5,855,29.0,38.793,17.75,18.83,18.2,17.75,16.9,18.6
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,340.0,S,True,2020-07-03 00:00:00,2020-07-02 20:00:00,5,1840,29.0,35.796,15.375,16.76,16.25,15.38,14.25,16.5
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,342.5,S,True,2020-07-03 00:00:00,2020-07-02 20:00:00,5,608,29.0,37.819,13.725,14.7,14.4,13.73,12.95,14.5
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,345.0,S,True,2020-07-03 00:00:00,2020-07-02 20:00:00,5,2526,29.0,36.737,11.775,12.74,12.4,11.78,11.0,12.55
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,347.5,S,True,2020-07-03 00:00:00,2020-07-02 20:00:00,5,684,29.0,34.704,9.775,10.78,10.4,9.78,8.8,10.75
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,350.0,S,True,2020-07-03 00:00:00,2020-07-02 20:00:00,5,2718,29.0,38.049,8.825,9.13,8.55,8.82,8.5,9.15
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,352.5,S,True,2020-07-03 00:00:00,2020-07-02 20:00:00,5,856,29.0,39.519,7.725,7.47,7.3,7.73,6.95,8.5
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,355.0,S,False,2020-07-03 00:00:00,2020-07-02 20:00:00,5,2103,29.0,36.027,5.875,5.88,6.1,5.88,5.75,6.0
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,357.5,S,False,2020-07-03 00:00:00,2020-07-02 20:00:00,5,1283,29.0,35.717,4.75,4.75,4.8,4.75,4.55,4.95
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,360.0,S,False,2020-07-03 00:00:00,2020-07-02 20:00:00,5,6425,29.0,34.959,3.7,3.7,3.8,3.7,3.6,3.8
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,362.5,S,False,2020-07-03 00:00:00,2020-07-02 20:00:00,5,3424,29.0,33.645,2.72,2.74,2.9,2.72,2.29,3.15
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,365.0,S,False,2020-07-03 00:00:00,2020-07-02 20:00:00,5,5788,29.0,34.217,2.175,2.17,2.25,2.17,2.1,2.25
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,367.5,S,False,2020-07-03 00:00:00,2020-07-02 20:00:00,5,2804,29.0,33.743,1.6,1.6,1.59,1.6,1.5,1.7
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,370.0,S,False,2020-07-03 00:00:00,2020-07-02 20:00:00,5,10122,29.0,34.704,1.3,1.3,1.27,1.3,1.2,1.4
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,372.5,S,False,2020-07-03 00:00:00,2020-07-02 20:00:00,5,2861,29.0,35.044,1.0,1.0,0.92,1.0,0.9,1.1
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,375.0,S,False,2020-07-03 00:00:00,2020-07-02 20:00:00,5,7419,29.0,34.769,0.715,0.71,0.72,0.72,0.68,0.75
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,377.5,S,False,2020-07-03 00:00:00,2020-07-02 20:00:00,5,981,29.0,35.501,0.565,0.56,0.54,0.56,0.52,0.61
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,325.0,S,True,2020-07-11 00:00:00,2020-07-10 20:00:00,13,280,29.0,42.861,30.925,31.38,30.55,30.93,30.35,31.5
